epoch,measure,value
1,val_loss,0.26079056913852694
2,val_loss,0.12232660427987575
3,val_loss,0.08665693326666951
4,val_loss,0.06766890836562961
5,val_loss,0.061647019901452584
6,val_loss,0.05355817451304756
7,val_loss,0.05270093148353044
8,val_loss,0.04417584598257672
9,val_loss,0.04161083412115113
10,val_loss,0.04303706374948379
11,val_loss,0.037795238598191644
12,val_loss,0.036942279323667754
13,val_loss,0.037963812428843814
14,val_loss,0.03834980770435068
15,val_loss,0.03177207921709051
16,val_loss,0.03962316383824946
17,val_loss,0.034030885451068756
18,val_loss,0.03157889010909785
19,val_loss,0.03267186118955433
20,val_loss,0.03104429045472898
21,val_loss,0.03534065908197754
22,val_loss,0.03257109913790937
23,val_loss,0.03775600034057352
24,val_loss,0.0280096365039386
25,val_loss,0.03580800416307757
26,val_loss,0.034794292860071435
27,val_loss,0.03007575104538728
28,val_loss,0.03103977613407442
29,val_loss,0.031113955626342796
30,val_loss,0.03230826540093676
1,val_acc,0.933
2,val_acc,0.9641
3,val_acc,0.972
4,val_acc,0.9808
5,val_acc,0.9815
6,val_acc,0.984
7,val_acc,0.985
8,val_acc,0.9872
9,val_acc,0.9881
10,val_acc,0.9884
11,val_acc,0.9895
12,val_acc,0.9894
13,val_acc,0.9892
14,val_acc,0.99
15,val_acc,0.9902
16,val_acc,0.9894
17,val_acc,0.9912
18,val_acc,0.9916
19,val_acc,0.9919
20,val_acc,0.9918
21,val_acc,0.9912
22,val_acc,0.9909
23,val_acc,0.9904
24,val_acc,0.9917
25,val_acc,0.9903
26,val_acc,0.9913
27,val_acc,0.9919
28,val_acc,0.9933
29,val_acc,0.9924
30,val_acc,0.9923
1,loss,1.3000235316117605
2,loss,0.37099217961629233
3,loss,0.22088236250480017
4,loss,0.1677042659521103
5,loss,0.1351704770922661
6,loss,0.11584200642108917
7,loss,0.09975635916193326
8,loss,0.08971896327932675
9,loss,0.08090387769540151
10,loss,0.07305583655436834
11,loss,0.06824735765953859
12,loss,0.06443911268810432
13,loss,0.059350081101556616
14,loss,0.05411138682862123
15,loss,0.052248304350177445
16,loss,0.04814845509193837
17,loss,0.04500725103120009
18,loss,0.04301974295824766
19,loss,0.03958999703874191
20,loss,0.036196500613043706
21,loss,0.03640429514100154
22,loss,0.03472318883140882
23,loss,0.030326747876405716
24,loss,0.03174005001547436
25,loss,0.029718915260210633
26,loss,0.0268162579258283
27,loss,0.024769742453470828
28,loss,0.02475965366438031
29,loss,0.024127834364647667
30,loss,0.02239605950737993
1,acc,0.5469166666348775
2,acc,0.8899333333333334
3,acc,0.9389833333651225
4,acc,0.9554333333015442
5,acc,0.9633166666984558
6,acc,0.9682499999682108
7,acc,0.9727500000317891
8,acc,0.9765166666984558
9,acc,0.9778333333651225
10,acc,0.9809
11,acc,0.9809833333015442
12,acc,0.9825166666348776
13,acc,0.984
14,acc,0.9853166666348775
15,acc,0.9856833333651225
16,acc,0.9869333333333333
17,acc,0.9879333333015442
18,acc,0.9885
19,acc,0.9889
20,acc,0.9904666666666667
21,acc,0.9899333333015442
22,acc,0.9903833333333333
23,acc,0.9910833333015442
24,acc,0.9912333333015442
25,acc,0.9922666666666666
26,acc,0.9922333333333333
27,acc,0.9932
28,acc,0.9929999999682109
29,acc,0.9929833333015442
30,acc,0.9936666666984558
